area,ID,Longitude,Latitude,Slp_class,Slope_mean,Elv_class,Elevation_,ECO_NAME,G200_REGIO,_antropiza,HISTO_0,HISTO_1,HISTO_2,HISTO_3,total_pix,Natural,Agro,Urb,Other,Antro,Check
99926101.3,11784,-41.559996,-21.516136,Class3,26.92653109,1-Low Elevation,99.47860381,Bahia interior forests,Atlantic Forests,0.891348547,13973,100225,37,0,114235,0.122,0.877,0,0,0.878,0.999
99926101.3,2997,-35.189255,-6.945756,Class1,6.988342766,1-Low Elevation,100.1510127,Pernambuco interior forests,Atlantic Forests,0.865613849,13348,97673,3215,0,114236,0.117,0.855,0.028,0,0.883,1
99926101.3,6055,-40.171799,-18.805278,Class1,9.315702336,1-Low Elevation,100.3400394,Bahia coastal forests,Atlantic Forests,0.792221707,22391,92054,0,0,114445,0.196,0.804,0,0,0.804,1
99926101.3,10377,-35.132302,-8.297779,Class2,19.90172307,1-Low Elevation,100.4998432,Pernambuco coastal forests,Atlantic Forests,0.789053207,23425,90776,244,0,114445,0.205,0.793,0.002,0,0.795,1
99926101.3,12809,-39.390626,-16.654679,Class2,13.59513856,1-Low Elevation,100.5011339,Bahia coastal forests,Atlantic Forests,0.760085373,27216,87020,0,0,114236,0.238,0.762,0,0,0.762,1
99926101.3,12655,-39.94601,-17.844848,Class2,10.58149447,1-Low Elevation,100.7390062,Bahia coastal forests,Atlantic Forests,0.79139179,23826,90361,49,0,114236,0.209,0.791,0,0,0.791,1
99926101.3,8099,-39.393143,-16.044614,Class2,12.04920848,1-Low Elevation,100.8184429,Bahia coastal forests,Atlantic Forests,0.618006344,47458,66777,0,0,114235,0.415,0.585,0,0,0.585,1
99926101.3,9187,-39.473733,-16.711634,Class2,16.4647556,1-Low Elevation,100.972093,Bahia coastal forests,Atlantic Forests,0.823513532,22719,90781,736,0,114236,0.199,0.795,0.006,0,0.801,1
99926101.3,9856,-40.298216,-18.58627,Class2,12.82221706,1-Low Elevation,100.9889132,Bahia coastal forests,Atlantic Forests,0.915385783,10120,102649,1636,41,114446,0.088,0.897,0.014,0,0.912,0.999
99926101.3,11234,-39.667077,-17.250382,Class2,13.45874946,1-Low Elevation,101.0458476,Bahia coastal forests,Atlantic Forests,0.679441862,37108,77127,0,0,114235,0.325,0.675,0,0,0.675,1
